Date,Region,Product_Category,Monthly_Revenue,Monthly_Costs,New_Customers,Customer_Churn_Rate,Marketing_Spend,Conversion_Rate
2023-01-31,North,Electronics,150000,75000,1500,0.02,20000,0.05
2023-01-31,South,Apparel,80000,40000,800,0.03,10000,0.04
2023-01-31,East,Home Goods,120000,60000,1000,0.025,15000,0.06
2023-01-31,West,Electronics,180000,90000,1700,0.015,25000,0.055
2023-02-28,North,Electronics,155000,76000,1550,0.018,21000,0.052
2023-02-28,South,Apparel,82000,41000,810,0.028,10500,0.042
2023-02-28,East,Home Goods,125000,61000,1050,0.023,16000,0.061
2023-02-28,West,Electronics,185000,91000,1750,0.014,26000,0.057
2023-03-31,North,Electronics,160000,78000,1600,0.019,22000,0.053
2023-03-31,South,Apparel,85000,42000,830,0.027,11000,0.045
2023-03-31,East,Home Goods,130000,63000,1100,0.022,17000,0.063
2023-03-31,West,Electronics,190000,93000,1800,0.013,27000,0.058
2023-04-30,North,Electronics,162000,79000,1620,0.02,22500,0.054
2023-04-30,South,Apparel,83000,41500,800,0.03,10800,0.041
2023-04-30,East,Home Goods,132000,64000,1080,0.024,17500,0.062
2023-04-30,West,Electronics,192000,94000,1820,0.015,27500,0.059
2023-05-31,North,Electronics,165000,80000,1650,0.017,23000,0.055
2023-05-31,South,Apparel,86000,43000,840,0.029,11200,0.043
2023-05-31,East,Home Goods,135000,65000,1120,0.021,18000,0.064
2023-05-31,West,Electronics,195000,95000,1850,0.012,28000,0.06
2023-06-30,North,Electronics,168000,81000,1680,0.016,23500,0.056
2023-06-30,South,Apparel,88000,44000,860,0.026,11500,0.046
2023-06-30,East,Home Goods,138000,66000,1150,0.02,18500,0.065
2023-06-30,West,Electronics,198000,96000,1880,0.011,28500,0.061